Дата;Должность;Зарплата;Город
29 марта 2024;Начальник отдела инженерных изысканий (Инжиниринговый центр);не указано;Новокузнецк
29 марта 2024;Главный специалист по математическому моделированию (НИЦ);не указано;Новокузнецк
29 марта 2024;Главный специалист по неразрушающим методам исследований (НИЦ);не указано;Новокузнецк
29 марта 2024;Ведущий инженер-технолог;не указано;Санкт-Петербург
29 марта 2024;Ведущий инженер систем ВК и НВК;не указано;Санкт-Петербург
29 марта 2024;Водитель автомобиля с крановоманипуляторной установкой - экспедитор;не указано;Новокузнецк
29 марта 2024;Геодезист;не указано;Красноярск
29 марта 2024;Геодезист;не указано;Томск
29 марта 2024;Геодезист;не указано;Новосибирск
29 марта 2024;Геодезист;не указано;Новокузнецк
29 марта 2024;Аналитик MES-систем;не указано;Екатеринбург
29 марта 2024;Руководитель направления по HR-коммуникациям;не указано;Москва
28 марта 2024;Руководитель направления системного анализа;не указано;Екатеринбург
28 марта 2024;Архитектор ИС;не указано;Москва
28 марта 2024;Консультант ИС Меридиум;не указано;Красноярск
28 марта 2024;Юрисконсульт/Проектный юрист (сопровождение строительных проектов);не указано;Москва
28 марта 2024;Ведущий специалист по планированию ремонтов;не указано;Новокузнецк
28 марта 2024;Инженер по строительству/инженер строитель;не указано;Уфа
28 марта 2024;Инженер по строительству/инженер строитель;не указано;Тюмень
28 марта 2024;Инженер по строительству/инженер строитель;не указано;Омск
27 марта 2024;Электромонтер-релейщик;не указано;Качканар
27 марта 2024;Монтер пути;не указано;Качканар
27 марта 2024;Преподаватель по сварочному направлению;не указано;Новокузнецк
27 марта 2024;Заведующий складом;не указано;Ивантеевка
27 марта 2024;Консультант SAP MDG;не указано;Екатеринбург
27 марта 2024;Менеджер по продажам металлоконструкций;не указано;Москва
27 марта 2024;Главный специалист (по администрированию ТДО);не указано;Качканар
